|index|metroId|metropolitanAreas|latitude|longitude|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER
0|0|AT001|Vienna|48.2083537|16.3725042|23.0|858.0|222.0|12.4|293.0|14.9|33.1|33.3|32.2|0.08921701154206094|22.1|14.896327435773147|0.09570854465238124
1|1|AT002|Graz|47.0708678|15.4382786|2.0|248.0|59.0|16.3|202.0|17.7|7.0|7.5|7.1|0.0801551389786684|32.9|4.792475521085797|0.03079153968539748
2|2|AT003|Linz|48.3059078|14.286198|2.0|189.0|43.0|22.6|175.0|15.3|7.6|7.3|7.0|0.05320945945945946|15.6|5.501898206495395|0.03534956333630635
3|3|AT004|Salzburg|47.7981346|13.0464806|1.0|97.0|28.0|15.9|232.0|12.3|4.3|4.2|4.1|0.06274256144890039|18.8|2.3946888027144935|0.015385817825993698
4|4|AT005|Innsbruck|47.2654296|11.3927685|0.0|108.0|19.0|23.0|132.0|12.6|3.9|4.0|3.7|0.04267088107467404|56.4|3.92041226369365|0.025188554280459283
5|5|AT006|Klagenfurt|46.6228162|14.3079604|0.0|95.0|29.0|16.7|106.0|13.7|2.8|2.9|3.2|0.04023718763235917|43.5|3.65708943286476|0.023496711440602277
6|6|AUS01|Greater Sydney|51.5487807|0.1333421|51.0|1582.0|1190.0|6.4|390.0|7.2|20.5|21.1|18.7|0.12758064516129033|22.5|0.01773266320160374|0.0002644988685052821
7|7|AUS02|Greater Melbourne|-38.06483595|145.22690065441014|83.0|1944.0|1572.0|6.9|447.0|8.0|18.4|19.6|17.5|0.19426401518936745|4.6|0.01431054521439102|0.000213454852994545
8|8|AUS03|Greater Brisbane|51.56006345|-0.012621600853172292|147.0|1347.0|741.0|10.3|144.0|5.9|10.2|9.9|8.2|0.08478630326682193|18.3|0.02271925970031279|0.0003388785099954368
9|9|AUS04|Greater Perth|51.5321667|0.0882561|233.0|1089.0|696.0|8.8|307.0|7.9|8.4|8.6|7.4|0.1691781885971726|8.6|0.009205254276509941|0.00013730477552971782
10|10|AUS05|Greater Adelaide|51.4237132|-0.334651|221.0|669.0|537.0|8.4|399.0|6.5|5.1|5.5|6.1|0.20490045941807045|6.8|0.004669124625260985|6.964425852175371e-05
11|11|AUS06|Gold Coast|-28.0023731|153.4145987|169.0|314.0|137.0|8.5|303.0|5.7|2.3|2.4|2.5|0.16854535695115405|24.5|0.002664189640692562|3.9738821937527464e-05
12|12|AUS07|Canberra|-35.2975906|149.1012676|33.0|178.0|122.0|33.7|165.0|6.6|1.6|1.7|1.3|0.07532797291578502|5.7|0.0033792163826927126|5.040409889338561e-05
13|13|AUS08|Newcastle|54.9738474|-1.6131572|115.0|284.0|137.0|8.2|284.0|7.4|1.9|1.9|2.2|0.17963314358001264|34.7|0.0022609145582044767|3.3723605734423465e-05
14|14|AUS10|Wollongong|-34.4243941|150.89385|24.0|127.0|52.0|7.5|669.0|6.6|1.2|1.2|1.4|0.3038277511961722|44.5|0.000597762356312126|8.916171535097413e-06
15|15|AUS11|Sunshine Coast|-26.5443222|153.0507705|176.0|131.0|44.0|8.8|374.0|5.3|1.0|1.0|1.3|0.20404984423676012|36.5|0.0009180943367281937|1.3694215611321863e-05
16|16|AUS14|Geelong|-38.1492813|144.3598269|99.0|167.0|85.0|7.3|61.0|7.9|1.1|1.1|1.4|0.03764652840396754|2.2|0.006343717255025338|9.46223371523735e-05
17|17|BE001|Brussels|50.8465573|4.351697|7.0|931.0|27.0|5.3|536.0|12.8|25.1|23.3|20.6|0.19323370693233707|35.3|79.3506142668428|0.08279414456688904
18|18|BE002|Antwerp|51.2211097|4.3997081|8.0|421.0|127.0|3.0|884.0|14.5|9.9|9.6|10.0|0.34283387622149836|4.8|20.224689564068694|0.021102368104636726
19|19|BE003|Gent|51.0538286|3.7250121|7.0|337.0|102.0|4.6|496.0|14.9|4.9|5.2|5.4|0.28778821520068315|0.9|19.285921400264197|0.02012286079033355
20|20|BE004|Charleroi|50.4120332|4.4436244|5.0|213.0|213.0|4.9|340.0|11.6|4.6|4.3|4.2|0.14863921842288905|17.6|23.600961030383093|0.024625157568358653
21|21|BE005|Liege|50.6451381|5.5734203|5.0|294.0|294.0|7.2|377.0|11.3|6.6|6.6|6.6|0.14961832061068703|25.3|32.362797225891676|0.03376722583518824
22|22|CAN01|Toronto|43.6534817|-79.3839347|2.0|1860.0|1546.0|0.6|441.0|8.6|20.2|20.1|17.3|0.11766194331983805|10.5|0.02468459967497956|0.018483874503146185
23|23|CAN02|Montreal|45.4972159|-73.6103642|5.0|1215.0|774.0|4.1|358.0|9.2|12.1|12.3|12.2|0.1000823723228995|11.7|0.018956923080355004|0.014194979533666163
24|24|CAN03|Vancouver|49.2608724|-123.1139529|0.0|685.0|538.0|1.4|838.0|6.4|6.3|7.4|6.4|0.22940388479571333|37.3|0.004662716006420101|0.0034914504849692884
25|25|CAN04|Ottawa|45.421106|-75.690308|3.0|344.0|294.0|2.5|121.0|7.3|4.2|4.2|3.7|0.02853587722936541|34.0|0.018824193388276733|0.014095591291461746
26|26|CAN05|Calgary|51.0460954|-114.065465|4.0|305.0|265.0|1.7|86.0|7.6|4.8|4.5|2.9|0.017394775864035587|2.3|0.02737979318706298|0.0205020404566147
27|27|CAN06|Edmonton|53.535411|-113.507996|5.0|343.0|276.0|4.7|70.0|8.8|4.1|3.9|2.8|0.017828369457872032|12.9|0.030042194657574125|0.02249565166789154
28|28|CAN07|Quebec|52.4760892|-71.8258668|1.0|250.0|152.0|7.1|119.0|8.8|2.2|2.4|2.8|0.03393051031487514|41.8|0.011505322014502113|0.008615206688966415
29|29|CAN08|Winnipeg|49.8955367|-97.1384584|11.0|301.0|220.0|3.4|62.0|6.3|2.5|2.4|2.2|0.022070684851151195|1.3|0.021296088712510833|0.015946551143339302
30|30|CAN09|Hamilton|43.2560802|-79.8728583|4.0|285.0|193.0|0.6|220.0|9.3|1.8|1.8|1.9|0.09906152241918666|17.7|0.004492509695402087|0.0033639996802600947
31|31|CAN10|London|51.5073219|-0.1276474|5.0|227.0|131.0|3.7|102.0|8.8|1.6|1.6|1.6|0.0410711054821784|4.7|0.00863055303666574|0.006462574290162511
32|32|CAN11|Kitchener|43.451291|-80.4927815|1.0|194.0|150.0|1.8|220.0|8.7|1.7|1.6|1.4|0.07587016034415331|10.4|0.003992821442872136|0.0029898321801964064
33|33|CAN12|Halifax|44.648618|-63.5859487|1.0|115.0|97.0|3.0|45.0|5.8|1.2|1.3|1.2|0.011119706052987817|84.1|0.01614929971145234|0.012092625892683314
34|34|CAN13|Victoria|-36.5986096|144.6780052|0.0|141.0|68.0|5.4|358.0|5.8|0.9|1.1|1.3|0.13031423290203328|27.2|0.0016895709038668954|0.0012651538595903448
35|35|CAN14|Windsor|51.483757749999995|-0.6040964041849046|7.0|204.0|91.0|1.9|242.0|9.9|1.1|1.1|1.1|0.13076923076923078|6.2|0.002435980231083509|0.0018240665628104786
